"dataset","key","ja","tier","japanese_characters","source_ids","status"
"regional","regional-17954","天橋立","2","132","ndl-kinki-guide-1941;official-amanohashidate-geography","researched"
"regional","regional-804212","大阪くらしの今昔館","2","176","","pending"
"regional","regional-40306","住吉大社","2","115","ndl-kinki-guide-1933;official-sumiyoshi-bridge;official-sumiyoshi-honden","researched"
"regional","regional-269961","竹田城","2","402","","pending"
"regional","regional-247924","生野銀山","2","211","","pending"
"regional","regional-2007615","法隆寺","2","127","ndl-kinki-guide-1933;official-horyuji-precinct;official-horyuji-unesco","researched"
"regional","regional-1027694","今井町","2","196","","pending"
"regional","regional-343086","和歌山城","2","139","ndl-kinki-guide-1933;official-wakayama-castle;official-wakayama-guide","researched"
"regional","regional-42676","熊野本宮大社","2","203","","pending"
"regional","regional-1516067","倉吉市打吹玉川伝統的建造物群保存地区","2","112","","pending"
"regional","regional-349258","仁風閣","2","83","","pending"
"regional","regional-296607","松江城","2","160","ndl-chugoku-shikoku-guide-1934;official-matsue-castle-history;official-matsue-castle-citadel","researched"
"regional","regional-233623","石見銀山","2","257","","pending"
"regional","regional-1054053","倉敷美観地区","2","158","ndl-chugoku-shikoku-guide-1934;official-kurashiki-history;official-kurashiki-preservation;official-ohara-museum","researched"
"regional","regional-87555","備中松山城","2","244","","pending"
"regional","regional-13585","尾道市","2","145","ndl-chugoku-shikoku-guide-1934;official-onomichi-city;official-senkoji-park","researched"
"regional","regional-43296","錦帯橋","2","159","ndl-chugoku-shikoku-guide-1934;official-kintaikyo-history","researched"
"regional","regional-203351","萩城","2","150","ndl-chugoku-shikoku-guide-1934;official-hagi-castle;official-hagi-castle-history","researched"
"regional","regional-283745","祖谷のかずら橋","2","153","","pending"
"regional","regional-1638739","脇町南町","2","224","","pending"
"regional","regional-313749","栗林公園","2","165","ndl-chugoku-shikoku-guide-1934;official-ritsurin-garden","researched"
"regional","regional-172545","金刀比羅宮","2","141","ndl-chugoku-shikoku-guide-1934;official-konpira-guide","researched"
"regional","regional-153196","道後温泉本館","2","216","","pending"
"regional","regional-1719403","八日市護国","2","142","","pending"
"regional","regional-110590","高知城","2","155","ndl-chugoku-shikoku-guide-1934;official-kochi-castle;official-kochi-castle-architecture","researched"
"regional","regional-248126","室戸岬","2","143","","pending"
"regional","regional-66044","門司港駅","2","244","","pending"
"regional","regional-1467126","太宰府天満宮","2","285","","pending"
"regional","regional-205858","吉野ヶ里遺跡","2","172","","pending"
"regional","regional-353012","唐津城","2","66","","pending"
"regional","regional-154418","グラバー園","2","296","","pending"
"regional","regional-32862","出島","2","135","ndl-hashima-1934;official-dejima-excavation","researched"
"regional","regional-3260492","崎津集落","2","248","","pending"
"regional","regional-144595","阿蘇神社","2","171","","pending"
"regional","regional-215374","臼杵石仏","2","197","","pending"
"regional","regional-1426823","杵築城","2","95","","pending"
"regional","regional-133236","飫肥城","2","107","","pending"
"regional","regional-492524","高千穂神社","2","115","","pending"
"regional","regional-429094","霧島神宮","2","75","","pending"
"regional","regional-335654","中城城","2","82","","pending"
"regional","regional-143898","今帰仁城","2","127","","pending"
